Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Abankwah;Udinese;Difensore;6.25;6.0;;2
Abdulhamid;Roma;Difensore;5.67;6.0;3.0;3
Abildgaard;Como;Centrocampista;0.0;0.0;;0
Abraham;Milan;Attaccante;5.8;6.13;10.0;15
Acerbi;Inter;Difensore;6.0;6.11;6.0;9
Adams C.;Torino;Attaccante;6.12;7.17;23.0;21
Adli;Fiorentina;Centrocampista;6.16;6.76;19.0;19
Adopo;Cagliari;Centrocampista;5.82;5.78;6.0;20
Adzic;Juventus;Centrocampista;6.0;6.0;1.0;1
Aebischer;Bologna;Centrocampista;5.86;5.86;3.0;7
Ahanor;Genoa;Difensore;6.0;6.0;2.0;2
Akpa Akpro;Monza;Centrocampista;5.5;5.25;2.0;4
Alberto Costa;Juventus;Difensore;0.0;0.0;4.0;0
Alidou;Verona;Centrocampista;5.5;5.5;;2
Alli;Como;Centrocampista;0.0;0.0;3.0;0
Almqvist;Parma;Attaccante;5.87;6.05;10.0;19
Altare;Venezia;Difensore;6.0;5.75;;12
Amrabat;Fiorentina;Centrocampista;5.75;5.75;;2
Andersen M.K.;Venezia;Centrocampista;5.96;6.23;;13
Angelino;Roma;Difensore;6.09;6.24;12.0;23
Anjorin;Empoli;Centrocampista;6.29;6.41;13.0;17
Ankeye;Genoa;Attaccante;6.0;6.0;;1
Arnautovic;Inter;Attaccante;6.0;6.08;5.0;6
Arthur Melo;Juventus;Centrocampista;0.0;0.0;;0
Asllani;Inter;Centrocampista;6.15;6.25;8.0;10
Atta;Udinese;Centrocampista;5.9;5.8;5.0;10
Audero;Como;Portiere;6.0;3.75;;8
Augello;Cagliari;Difensore;5.86;5.95;8.0;22
Azon;Como;Attaccante;0.0;0.0;3.0;0
Azzi;Cagliari;Difensore;6.0;5.83;;6
Badelj;Genoa;Centrocampista;6.0;6.11;9.0;18
Bagnolini;Bologna;Portiere;0.0;0.0;1.0;0
Bakker;Atalanta;Difensore;6.0;6.0;;1
Baldanzi;Roma;Centrocampista;5.96;6.23;9.0;13
Balogh;Parma;Difensore;5.79;5.76;6.0;19
Balotelli;Genoa;Attaccante;6.0;5.83;6.0;3
Banda;Lecce;Attaccante;5.9;5.95;5.0;10
Bani;Genoa;Difensore;5.82;5.75;5.0;14
Barak;Fiorentina;Centrocampista;5.5;5.5;;1
Barba;Como;Difensore;5.42;5.42;;6
Barella;Inter;Centrocampista;6.4;7.08;25.0;20
Bartesaghi;Milan;Difensore;5.0;4.5;2.0;2
Baschirotto;Lecce;Difensore;5.74;5.7;5.0;23
Baselli;Como;Centrocampista;6.0;6.0;1.0;1
Basic;Lazio;Centrocampista;0.0;0.0;1.0;0
Bastoni;Inter;Difensore;6.45;6.71;18.0;21
Belahyane;Lazio;Centrocampista;5.84;5.8;6.0;22
Belardinelli;Empoli;Centrocampista;0.0;0.0;;0
Bellanova;Atalanta;Difensore;6.09;6.32;13.0;22
Bellemo;Como;Centrocampista;0.0;0.0;;0
Belotti;Como;Attaccante;5.96;6.42;;12
Beltran L.;Fiorentina;Attaccante;6.14;6.97;22.0;18
Benedyczak;Parma;Attaccante;5.7;5.7;3.0;5
Bennacer;Milan;Centrocampista;5.83;5.67;;6
Berardi A.;Verona;Portiere;0.0;0.0;1.0;0
Berisha M.;Lecce;Centrocampista;6.25;6.5;5.0;4
Bernabe';Parma;Centrocampista;6.32;6.27;8.0;11
Bernede;Verona;Centrocampista;0.0;0.0;3.0;0
Bertinato;Venezia;Portiere;0.0;0.0;;0
Bettella;Monza;Difensore;0.0;0.0;;0
Beukema;Bologna;Difensore;5.98;6.02;10.0;22
Bianco;Monza;Centrocampista;6.08;6.1;11.0;20
Bijol;Udinese;Difensore;6.0;5.98;10.0;21
Billing;Napoli;Centrocampista;0.0;0.0;4.0;0
Biraghi;Torino;Difensore;5.75;6.17;5.0;6
Birindelli;Monza;Difensore;6.06;6.38;7.0;8
Bisseck;Inter;Difensore;5.97;6.13;10.0;15
Bjarkason;Venezia;Centrocampista;5.75;5.5;2.0;2
Boer;Roma;Portiere;0.0;0.0;;0
Bohinen;Genoa;Centrocampista;5.0;5.0;;2
Bondo;Milan;Centrocampista;5.97;5.84;7.0;19
Bonifazi;Lecce;Difensore;5.25;5.25;;2
Bonny;Parma;Attaccante;5.98;6.39;15.0;22
Bove;Fiorentina;Centrocampista;6.29;6.58;10.0;12
Bradaric;Verona;Difensore;5.47;5.33;3.0;15
Brancolini;Empoli;Portiere;0.0;0.0;1.0;0
Braunoder;Como;Centrocampista;5.12;4.75;2.0;4
Bravo;Udinese;Attaccante;6.19;6.81;8.0;8
Bremer;Juventus;Difensore;6.5;6.42;8.0;6
Brenner;Udinese;Attaccante;5.92;6.75;7.0;6
Brescianini;Atalanta;Centrocampista;6.19;7.0;14.0;13
Brorsson;Monza;Difensore;0.0;0.0;2.0;0
Buchanan T.;Inter;Centrocampista;5.83;5.83;;3
Buongiorno;Napoli;Difensore;6.43;6.6;15.0;15
Burnete;Lecce;Attaccante;5.5;5.5;2.0;1
Busio;Venezia;Centrocampista;5.92;6.0;10.0;20
Butez;Como;Portiere;5.9;4.3;4.0;5
Byar;Bologna;Centrocampista;0.0;0.0;1.0;0
Cabal;Juventus;Difensore;6.33;6.25;5.0;6
Cacace;Empoli;Difensore;5.83;6.27;11.0;15
Cajuste;Napoli;Centrocampista;0.0;0.0;;0
Calabria;Bologna;Difensore;5.9;5.9;3.0;5
Caldirola;Monza;Difensore;5.71;5.64;2.0;7
Calhanoglu;Inter;Centrocampista;6.32;7.04;19.0;14
Camara D.;Parma;Centrocampista;6.06;5.94;5.0;9
Camarda;Milan;Attaccante;5.8;5.8;3.0;5
Cambiaghi;Bologna;Attaccante;6.0;6.0;2.0;1
